Name,RA,DE,Redshift,Vlsr,DistMpc,SDSSu,SDSSg,SDSSr,SDSSi,Re,R50,Ellipticity,PA,Mstar
MCG-02-02-030,0.502033,-11.113600,0.011766,3488.827841,47.959173,15.067817,13.837967,13.014973,13.297843,17.838099,19.205659,0.897863,-18.253491,10.1503
MCG-02-51-004,20.261074,-13.622000,0.018986,5589.703045,78.524099,15.244336,14.078130,13.204903,13.523081,18.502021,22.030020,0.744695,-31.385417,10.4235
NGC0001,0.121073,27.708100,0.015113,4466.318081,64.522293,15.041727,13.668830,12.668569,12.999164,12.523529,14.031814,0.489490,15.502935,10.6816
NGC0014,0.146231,15.815720,0.003975,1187.658040,17.535489,14.513901,13.794377,13.379971,13.537958,24.053564,24.525548,0.853991,24.853079,8.41674
NGC0036,0.189527,6.389400,0.019921,5859.445736,82.660831,15.598845,13.980948,12.972198,13.294042,16.759460,21.328357,0.569432,32.639171,10.8976
NGC0155,0.577800,-10.766500,0.020521,6032.488490,83.788363,15.296539,13.685385,12.785366,13.098544,12.689868,15.154359,0.651574,-5.743710,10.9189
NGC0169,0.614333,23.991000,0.015250,4506.312131,64.714127,15.833157,14.045188,12.605988,13.080537,16.638803,25.818537,0.904839,-27.810246,11.0379
NGC0171,0.622653,-19.934200,0.012835,3801.567373,51.749802,15.447011,13.747621,12.822808,13.131181,19.106815,27.312542,0.821361,34.671486,10.4457
NGC0180,0.632693,8.635200,0.017422,5137.101999,72.523009,15.449407,14.071394,13.179571,13.468276,30.821629,53.097997,0.985707,-36.944445,10.5748
NGC0192,0.653727,0.864200,0.013856,4100.035477,57.359239,15.085471,13.629371,12.566373,12.920527,13.997315,18.394161,0.767760,-20.436740,10.6513
NGC0216,0.690880,-21.044700,0.005247,1565.798901,20.172220,14.564082,13.733330,13.231742,13.418493,17.937914,17.960721,0.949384,26.253955,9.00085
NGC0237,0.724400,-0.124900,0.013822,4089.957639,57.128145,14.752144,13.759813,13.021750,13.282102,16.693967,16.838176,0.850271,-1.066327,10.1138
NGC0364,1.078007,-0.802700,0.016997,5013.815285,69.998605,15.684880,13.928720,12.993338,13.280903,11.913070,14.031814,0.546211,0.940546,10.7178
NGC0429,1.215953,-0.345000,0.018841,5547.848369,77.517138,15.762529,14.115305,13.107635,13.444696,10.511275,8.473085,0.799846,22.321711,10.7696
NGC0548,1.434035,-1.225570,0.017833,5256.070637,73.291298,15.915607,14.467715,13.494666,13.838132,11.870902,12.262774,0.577006,-36.028741,10.3929
NGC0570,1.482953,-0.949000,0.018436,5430.646143,75.757692,15.392240,13.860794,12.953589,13.249886,14.055619,16.838176,0.455441,34.797736,10.7811
NGC0675,1.819059,13.059810,0.017482,5154.597887,72.791477,15.940198,14.707100,13.704151,14.066635,23.004870,42.365424,0.939960,-14.094227,10.4015
NGC0693,1.842013,6.144500,0.005003,1493.549859,20.726145,14.559496,13.341619,12.427880,12.725816,17.474390,18.521994,0.952864,16.333630,9.66357
NGC0731,1.915613,-9.010800,0.012939,3832.039643,52.584587,14.700428,13.065648,12.124278,12.436364,12.404981,13.470541,0.354910,40.500768,10.7558
NGC0755,1.939627,-9.061400,0.005679,1694.197972,22.465500,14.596663,13.735566,13.186171,13.398819,23.669539,24.289509,0.956099,-39.543421,8.96708
NGC0768,1.978040,0.529200,0.023119,6778.903466,94.737722,15.383026,14.265660,13.496441,13.753475,16.787794,18.075914,0.712625,26.713862,10.5232
NGC0774,1.992980,14.008200,0.015237,4502.503917,63.637723,15.421807,13.788887,12.795296,13.112227,13.342249,14.031814,0.608972,-16.170663,10.7405
NGC0776,1.998480,23.644300,0.016238,4793.430837,68.419818,15.299816,13.896873,12.940066,13.232637,17.571207,25.419254,0.969686,14.736011,10.644
NGC0810,2.091267,13.251600,0.025941,7585.556416,106.986179,15.495405,13.776205,12.743887,13.073888,14.854892,16.276904,0.733472,-6.253460,11.2515
NGC0825,2.142313,6.323700,0.011121,3299.491825,46.110144,15.220062,13.674168,12.689990,13.019121,11.651895,11.862319,0.926682,-38.823219,10.4431
NGC0932,2.465193,20.332500,0.013622,4031.577960,57.366801,15.087056,13.323142,12.304518,12.635532,13.481517,18.075914,0.426822,-2.418549,10.8213
NGC0938,2.475980,20.283700,0.013487,3992.187801,56.806602,14.957215,13.333759,12.372335,12.681494,12.013454,13.470541,0.620123,4.570220,10.7529
NGC0941,2.474413,-1.151500,0.005553,1656.583148,22.372788,14.819977,14.032561,13.493781,13.662973,26.571849,25.818537,0.670209,-42.992531,8.94391
NGC0955,2.509207,-1.108400,0.004951,1477.861609,19.852069,14.447705,12.826401,11.829896,12.170062,13.327958,15.251552,0.925502,18.447452,9.87979
NGC0962,2.544393,28.070000,0.015500,4578.907582,65.609067,14.943137,13.290916,12.375247,12.658380,12.950885,17.391726,0.980357,-15.454511,10.8961
NGC0991,2.592413,-7.154400,0.005129,1530.739597,20.162670,15.284413,14.278717,13.575574,13.838178,29.789750,31.771732,0.790599,-19.703155,9.04679
NGC1026,2.655333,6.544000,0.013910,4115.690386,57.523065,15.061598,13.418777,12.456175,12.757838,13.447245,16.838176,0.504538,25.749547,10.7614
NGC1056,2.713420,28.574200,0.005283,1576.668938,23.332405,14.220776,13.096587,12.101609,12.432594,12.752814,14.593086,0.823681,-21.564731,9.82543
NGC1070,2.722853,4.968300,0.013552,4011.375474,55.928783,14.444546,13.014157,12.076971,12.375378,16.571054,19.508958,0.530463,-6.026572,10.8166
NGC1094,2.791067,-0.285100,0.021499,6313.874316,87.972634,14.570903,13.532765,12.805793,13.062777,14.369734,13.934970,0.661156,0.434800,10.6473
NGC1142,2.920060,-0.183600,0.029282,8534.825192,119.239468,14.863026,13.688162,12.774310,13.054417,19.630559,24.525548,0.943862,30.203220,11.1329
